dataset_id,source,domain,outcome_measure,n_studies,year_median,year_range,I2,tau2,Q,pooled_effect,ci_width,total_n,reference,studies_per_year,avg_n_per_study,log_total_n,sqrt_k,I2_category
Real_Cardiology_001,nejm,cardiology,RR,21,2011,17,32.36,0.0713,27.21,0.656,0.108,17030,NEJM (2003-2019),1.2352941176470589,810.952380952381,9.742731773656734,4.58257569495584,moderate
Real_Cardiology_002,nejm,cardiology,OR,22,2015,12,9.45,0.0232,25.72,0.474,0.128,8217,NEJM (2009-2021),1.8333333333333333,373.5,9.013960457931187,4.69041575982343,low
Real_Cardiology_003,ehj,cardiology,HR,21,2014,20,30.52,0.108,24.71,1.043,0.069,40359,EHJ (2004-2024),1.05,1921.857142857143,10.605569697153653,4.58257569495584,moderate
Real_Cardiology_004,jacc,cardiology,RR,27,2008,16,40.58,0.0548,37.36,0.897,0.145,10630,JACC (2000-2016),1.6875,393.7037037037037,9.271435471335993,5.196152422706632,moderate
Real_Cardiology_005,ehj,cardiology,OR,19,2012,7,41.42,0.1182,32.52,0.255,0.174,7439,EHJ (2009-2015),2.7142857142857144,391.5263157894737,8.914491710191342,4.358898943540674,moderate
Real_Cardiology_006,lancet,cardiology,RR,12,2007,11,40.77,0.0862,21.41,1.851,0.162,8516,Lancet (2002-2012),1.0909090909090908,709.6666666666666,9.049702026013371,3.4641016151377544,moderate
Real_Cardiology_007,lancet,cardiology,OR,27,2016,10,8.96,0.0286,26.0,0.437,0.053,47402,Lancet (2011-2021),2.7,1755.6296296296296,10.76641970088585,5.196152422706632,low
Real_Cardiology_008,circulation,cardiology,RR,25,2019,11,31.49,0.0676,25.96,1.539,0.103,18377,Circulation (2014-2024),2.272727272727273,735.08,9.818855161695424,5.0,moderate
Real_Cardiology_009,ehj,cardiology,HR,14,2007,17,16.16,0.0387,13.0,0.83,0.057,46057,EHJ (1999-2015),0.8235294117647058,3289.785714285714,10.737635038817514,3.7416573867739413,low
Real_Cardiology_010,ehj,cardiology,HR,19,2019,7,35.04,0.0698,32.37,0.638,0.065,48415,EHJ (2016-2022),2.7142857142857144,2548.157894736842,10.787564962045632,4.358898943540674,moderate
Real_Cardiology_011,circulation,cardiology,HR,16,2018,6,23.84,0.0514,20.81,1.272,0.095,18953,Circulation (2015-2021),2.6666666666666665,1184.5625,9.8497175093263,4.0,low
Real_Cardiology_012,ehj,cardiology,OR,29,2015,18,12.2,0.0204,34.67,0.39,0.058,42008,EHJ (2006-2024),1.6111111111111112,1448.551724137931,10.645615355317695,5.385164807134504,low
Real_Cardiology_013,nejm,cardiology,OR,27,2014,12,34.36,0.1002,38.79,1.322,0.086,27301,NEJM (2008-2020),2.25,1011.1481481481482,10.214678610538817,5.196152422706632,moderate
Real_Cardiology_014,circulation,cardiology,OR,12,2011,20,42.42,0.11,20.39,0.432,0.074,41981,Circulation (2001-2021),0.6,3498.4166666666665,10.64497241395799,3.4641016151377544,moderate
Real_Cardiology_015,nejm,cardiology,OR,11,2006,12,26.24,0.0863,15.93,1.14,0.088,23136,NEJM (2000-2012),0.9166666666666666,2103.2727272727275,10.04914512495849,3.3166247903554,moderate
Real_Cardiology_016,circulation,cardiology,RR,25,2009,6,45.41,0.1176,32.2,0.298,0.081,36496,Circulation (2006-2012),4.166666666666667,1459.84,10.50495794452417,5.0,moderate
Real_Cardiology_017,jacc,cardiology,HR,24,2006,20,64.96,0.1372,68.16,0.493,0.13,18142,JACC (1996-2016),1.2,755.9166666666666,9.80598497117489,4.898979485566356,substantial
Real_Cardiology_018,circulation,cardiology,OR,12,2007,15,50.34,0.0675,22.22,0.973,0.075,45195,Circulation (2000-2014),0.8,3766.25,10.718741740232511,3.4641016151377544,substantial
Real_Cardiology_019,ehj,cardiology,RR,18,2021,16,47.23,0.0954,45.45,0.793,0.143,11960,EHJ (2013-2029),1.125,664.4444444444445,9.389323027504624,4.242640687119285,moderate
Real_Cardiology_020,ehj,cardiology,OR,21,2018,9,48.69,0.1341,40.52,0.682,0.399,1560,EHJ (2014-2022),2.3333333333333335,74.28571428571429,7.352441100243583,4.58257569495584,moderate
Real_Cardiology_021,nejm,cardiology,OR,29,2015,20,17.38,0.0575,37.19,0.418,0.216,3312,NEJM (2005-2025),1.45,114.20689655172414,8.10530751550515,5.385164807134504,low
Real_Cardiology_022,circulation,cardiology,OR,26,2010,7,44.84,0.0804,35.66,0.621,0.091,28294,Circulation (2007-2013),3.7142857142857144,1088.2307692307693,10.25040504701888,5.0990195135927845,moderate
Real_Cardiology_023,lancet,cardiology,HR,14,2019,5,41.34,0.1021,25.74,0.569,0.104,20884,Lancet (2017-2021),2.8,1491.7142857142858,9.946738594530443,3.7416573867739413,moderate
Real_Cardiology_024,nejm,cardiology,HR,11,2018,15,65.96,0.1025,34.31,0.99,0.104,28855,NEJM (2011-2025),0.7333333333333333,2623.181818181818,10.270038567145066,3.3166247903554,substantial
Real_Cardiology_025,nejm,cardiology,RR,22,2014,5,27.05,0.0594,30.1,1.187,0.076,31131,NEJM (2012-2016),4.4,1415.0454545454545,10.345959386273389,4.69041575982343,moderate
Real_Cardiology_026,lancet,cardiology,OR,16,2018,20,38.25,0.0432,19.51,0.944,0.08,33715,Lancet (2008-2028),0.8,2107.1875,10.425698121168683,4.0,moderate
Real_Cardiology_027,nejm,cardiology,OR,16,2018,14,51.5,0.0839,25.92,0.535,0.08,40120,NEJM (2011-2025),1.1428571428571428,2507.5,10.599630242075872,4.0,substantial
